                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98367,                 1.1162,                 1.3555,                  0.375,                      1,                  0.665,                0.41057,                 1.7964,                 69.964,                 5.7855,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.0181,                  1.035,                 1.2642,                  0.375,                      1,                  0.665,                0.41057,                 1.7964,                 69.964,                 5.7855,             0.00045745,             0.00045745,             0.00045745
                     37,                 1.0064,                 1.4996,                 1.3489,                0.21429,                      1,                  0.533,                0.11106,                 2.5714,                 131.63,                  5.275,             0.00046339,             0.00046339,             0.00046339
                     38,                0.85039,                 1.3637,                 1.4259,                0.21429,                      1,                  0.533,                0.11106,                 2.5714,                 131.63,                  5.275,             0.00046894,             0.00046894,             0.00046894
                     39,                0.77908,                0.84641,                 1.1043,                0.16667,                0.33333,                0.27667,                0.13609,                 1.7513,                 82.192,                 3.2154,             0.00047409,             0.00047409,             0.00047409
                     40,                 0.8716,                 1.2911,                 1.3444,                0.16667,                0.33333,                0.27667,                0.13609,                 1.7513,                 82.192,                 3.2154,             0.00047884,             0.00047884,             0.00047884
                     41,                0.98792,                0.94947,                 1.3128,                   0.25,                0.33333,                0.19375,                0.09253,                 1.7115,                  73.62,                 2.7941,              0.0004832,              0.0004832,              0.0004832
                     42,                 1.0229,                 1.1968,                 1.3702,                   0.25,                0.33333,                0.19375,                0.09253,                 1.7115,                  73.62,                 2.7941,             0.00048716,             0.00048716,             0.00048716
                     43,                  0.813,                0.86511,                  1.245,                    0.2,                0.33333,                0.24875,                0.10245,                   1.77,                 81.099,                 2.9396,             0.00049073,             0.00049073,             0.00049073
                     44,                0.72025,                0.94994,                 1.2068,                    0.2,                0.33333,                0.24875,                0.10245,                   1.77,                 81.099,                 2.9396,              0.0004939,              0.0004939,              0.0004939
